	Cluster
0	1
1	1
2	4
3	1
4	1
5	1
6	1
7	0
8	4
9	1
10	2
11	2
12	2
13	1
14	4
15	4
16	0
17	1
18	4
19	4
20	4
21	4
22	0
23	4
24	1
25	4
26	4
27	4
28	4
29	1
30	1
31	4
32	1
33	4
34	4
35	1
36	2
37	1
38	4
39	1
40	4
41	1
42	4
43	1
44	1
45	4
46	4
47	1
48	1
49	3
50	1
51	1
52	1
53	4
54	4
55	4
56	1
57	4
58	1
59	4
60	1
61	4
62	1
63	4
64	1
65	4
66	1
67	1
68	0
69	4
70	4
71	0
72	1
73	1
74	4
75	4
76	4
77	3
78	0
79	0
80	0
81	0
82	0
83	3
84	0
85	0
86	3
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	4
95	4
96	0
97	0
98	4
99	4
100	4
101	0
102	0
103	4
104	4
105	0
106	0
107	1
108	0
109	0
110	4
111	1
112	1
113	4
114	1
115	0
116	4
117	0
118	3
119	3
120	4
121	3
122	3
123	3
124	3
125	3
126	4
127	3
128	3
129	4
130	1
131	3
132	4
133	0
134	1
135	4
136	4
137	4
138	4
139	1
140	4
141	4
142	3
143	3
144	3
145	0
146	0
147	2
148	2
149	4
150	1
151	3
152	0
153	4
154	0
155	4
156	3
157	3
158	3
159	4
160	0
161	4
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	4
172	0
173	4
174	0
175	0
176	3
177	0
178	0
179	4
180	0
181	0
182	3
183	3
184	0
185	0
186	0
187	0
188	3
189	3
190	4
191	0
192	0
193	4
194	0
195	3
196	3
197	4
198	0
199	4
200	0
201	0
202	0
203	3
204	3
205	3
206	3
207	3
208	3
209	3
210	3
211	3
212	3
213	4
214	3
215	4
216	4
217	4
218	0
219	4
220	4
221	3
222	3
223	4
224	4
225	3
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	4
245	1
246	1
247	4
248	1
249	3
250	3
251	3
252	1
253	1
254	1
255	1
256	3
257	3
258	1
259	3
260	1
261	1
262	1
263	4
264	3
265	1
266	1
267	1
268	1
269	1
270	1
271	1
272	1
273	1
274	1
275	3
276	3
277	0
278	0
279	0
280	3
281	3
282	3
283	1
284	3
285	3
286	3
287	1
288	3
289	1
290	1
291	4
292	3
293	3
294	3
295	0
296	1
297	3
298	1
299	3
300	0
301	1
302	1
303	1
304	1
305	4
306	3
307	4
308	1
309	1
310	1
311	1
312	1
313	0
314	1
315	1
316	1
317	1
318	1
319	3
320	3
321	4
322	4
323	4
324	0
325	1
326	4
327	1
328	1
329	1
330	1
331	1
332	1
333	1
334	1
335	1
336	1
337	1
338	4
339	1
340	1
341	1
342	4
343	0
344	1
345	1
346	1
347	1
348	1
349	1
350	1
351	1
352	1
353	1
354	1
355	1
356	1
357	4
358	4
359	1
360	1
361	1
362	1
363	1
364	4
365	1
366	1
367	1
368	1
369	1
370	1
371	1
372	1
373	1
374	1
375	4
376	3
377	4
378	4
379	1
380	1
381	3
382	3
383	3
384	3
385	3
386	0
387	1
388	0
389	4
390	4
391	3
392	0
393	0
394	0
395	0
396	4
397	4
398	0
399	0
400	0
401	0
402	4
403	1
404	0
405	1
406	0
407	4
408	0
409	1
410	4
411	1
412	4
413	4
414	1
415	1
416	0
417	1
418	1
419	4
420	3
421	4
422	0
423	0
424	4
425	3
426	4
427	4
428	3
429	4
430	4
431	4
432	4
433	4
434	4
435	4
436	4
437	4
438	4
439	4
440	4
441	2
442	2
443	2
444	4
445	4
446	0
447	4
448	4
449	4
450	4
451	4
452	4
453	4
454	4
455	0
456	0
457	0
458	0
459	4
460	4
461	0
462	0
463	0
464	0
465	4
466	0
467	0
468	4
469	0
470	0
471	4
472	4
473	4
474	4
475	4
476	4
477	4
478	4
479	4
480	4
481	4
482	4
483	3
484	3
485	0
486	3
487	4
488	3
489	0
490	0
491	0
492	4
493	0
494	4
495	4
496	4
497	4
498	4
499	4
500	4
501	1
502	4
503	4
504	4
505	4
506	4
507	4
508	3
509	4
510	3
511	3
512	4
513	4
514	3
515	4
516	4
517	4
518	4
519	4
520	4
521	4
522	4
523	4
524	4
525	4
526	4
