	Cluster
0	2
1	2
2	0
3	2
4	2
5	2
6	2
7	0
8	0
9	2
10	0
11	0
12	0
13	2
14	0
15	0
16	0
17	2
18	0
19	0
20	0
21	0
22	2
23	0
24	2
25	0
26	0
27	0
28	0
29	2
30	2
31	0
32	2
33	0
34	0
35	2
36	2
37	2
38	0
39	2
40	0
41	2
42	0
43	2
44	2
45	0
46	0
47	2
48	2
49	1
50	2
51	2
52	2
53	0
54	0
55	0
56	2
57	0
58	2
59	0
60	2
61	0
62	2
63	0
64	2
65	0
66	2
67	2
68	2
69	0
70	0
71	1
72	2
73	2
74	0
75	0
76	0
77	1
78	1
79	2
80	0
81	0
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	2
90	0
91	0
92	2
93	0
94	0
95	0
96	1
97	0
98	0
99	0
100	0
101	0
102	2
103	0
104	0
105	2
106	2
107	2
108	0
109	0
110	0
111	2
112	2
113	0
114	2
115	2
116	0
117	1
118	1
119	1
120	0
121	1
122	1
123	1
124	0
125	1
126	0
127	1
128	1
129	0
130	2
131	0
132	0
133	1
134	2
135	0
136	0
137	0
138	0
139	2
140	0
141	0
142	1
143	0
144	1
145	0
146	2
147	2
148	0
149	0
150	2
151	1
152	2
153	0
154	0
155	0
156	1
157	1
158	0
159	0
160	0
161	0
162	2
163	1
164	2
165	2
166	2
167	0
168	0
169	0
170	1
171	0
172	1
173	1
174	2
175	0
176	1
177	0
178	0
179	0
180	1
181	1
182	1
183	1
184	2
185	2
186	1
187	1
188	1
189	1
190	0
191	0
192	0
193	0
194	2
195	1
196	1
197	0
198	0
199	0
200	0
201	0
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	0
214	1
215	0
216	0
217	0
218	0
219	0
220	0
221	1
222	0
223	0
224	0
225	2
226	2
227	2
228	2
229	2
230	2
231	2
232	2
233	2
234	2
235	2
236	2
237	2
238	2
239	2
240	2
241	2
242	2
243	2
244	0
245	2
246	2
247	0
248	2
249	1
250	1
251	1
252	2
253	2
254	2
255	2
256	1
257	0
258	2
259	2
260	2
261	2
262	2
263	0
264	2
265	2
266	2
267	2
268	2
269	2
270	2
271	2
272	2
273	2
274	2
275	1
276	1
277	2
278	2
279	0
280	1
281	1
282	0
283	2
284	1
285	1
286	1
287	2
288	1
289	2
290	2
291	0
292	1
293	1
294	1
295	2
296	2
297	0
298	2
299	1
300	1
301	2
302	2
303	2
304	2
305	0
306	1
307	0
308	2
309	2
310	2
311	2
312	2
313	2
314	2
315	2
316	2
317	2
318	2
319	1
320	1
321	0
322	0
323	0
324	0
325	2
326	0
327	2
328	2
329	2
330	2
331	2
332	2
333	2
334	2
335	2
336	2
337	2
338	0
339	2
340	2
341	2
342	0
343	2
344	2
345	2
346	2
347	2
348	2
349	2
350	2
351	2
352	2
353	2
354	2
355	2
356	2
357	0
358	0
359	2
360	2
361	2
362	2
363	2
364	0
365	2
366	2
367	2
368	2
369	2
370	2
371	2
372	2
373	2
374	2
375	0
376	1
377	0
378	0
379	2
380	2
381	1
382	1
383	1
384	1
385	1
386	2
387	2
388	2
389	0
390	0
391	1
392	0
393	2
394	0
395	1
396	0
397	0
398	1
399	1
400	2
401	1
402	0
403	2
404	2
405	2
406	2
407	0
408	2
409	2
410	0
411	2
412	0
413	0
414	2
415	2
416	2
417	2
418	2
419	0
420	1
421	0
422	2
423	1
424	0
425	1
426	0
427	0
428	1
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	1
458	0
459	0
460	0
461	0
462	2
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	1
479	0
480	0
481	0
482	0
483	1
484	1
485	1
486	0
487	0
488	1
489	2
490	0
491	0
492	0
493	2
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	2
502	0
503	0
504	0
505	0
506	0
507	0
508	1
509	0
510	1
511	1
512	0
513	0
514	1
515	0
516	0
517	0
518	0
519	0
520	0
521	0
522	0
523	0
524	0
525	0
526	0
