	Cluster
0	0
1	0
2	1
3	0
4	0
5	0
6	0
7	1
8	1
9	0
10	1
11	1
12	1
13	0
14	1
15	1
16	1
17	0
18	1
19	1
20	1
21	1
22	0
23	1
24	0
25	1
26	1
27	1
28	1
29	0
30	0
31	1
32	0
33	1
34	1
35	0
36	0
37	0
38	1
39	0
40	1
41	0
42	1
43	0
44	0
45	1
46	1
47	0
48	0
49	2
50	0
51	0
52	0
53	1
54	1
55	1
56	0
57	1
58	0
59	1
60	0
61	1
62	0
63	1
64	0
65	1
66	0
67	0
68	0
69	1
70	1
71	2
72	0
73	0
74	1
75	1
76	1
77	2
78	2
79	0
80	1
81	1
82	2
83	2
84	2
85	2
86	2
87	2
88	2
89	0
90	1
91	1
92	0
93	1
94	1
95	1
96	2
97	1
98	1
99	1
100	1
101	1
102	0
103	1
104	1
105	0
106	0
107	0
108	1
109	1
110	1
111	0
112	0
113	1
114	0
115	0
116	1
117	2
118	2
119	2
120	1
121	2
122	2
123	2
124	1
125	2
126	1
127	2
128	2
129	1
130	0
131	1
132	1
133	2
134	0
135	1
136	1
137	1
138	1
139	0
140	1
141	1
142	2
143	1
144	2
145	1
146	0
147	0
148	1
149	1
150	0
151	2
152	0
153	1
154	1
155	1
156	2
157	2
158	1
159	1
160	1
161	1
162	0
163	2
164	0
165	0
166	0
167	1
168	1
169	1
170	2
171	1
172	2
173	2
174	0
175	1
176	2
177	1
178	1
179	1
180	2
181	2
182	2
183	2
184	0
185	0
186	2
187	2
188	2
189	2
190	1
191	1
192	1
193	1
194	0
195	2
196	2
197	1
198	1
199	1
200	1
201	1
202	2
203	2
204	2
205	2
206	2
207	2
208	2
209	2
210	2
211	2
212	2
213	1
214	2
215	1
216	1
217	1
218	1
219	1
220	1
221	2
222	1
223	1
224	1
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	1
245	0
246	0
247	1
248	0
249	2
250	2
251	2
252	0
253	0
254	0
255	0
256	2
257	1
258	0
259	0
260	0
261	0
262	0
263	1
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	2
276	2
277	0
278	0
279	1
280	2
281	2
282	1
283	0
284	2
285	2
286	2
287	0
288	2
289	0
290	0
291	1
292	2
293	2
294	2
295	0
296	0
297	1
298	0
299	2
300	2
301	0
302	0
303	0
304	0
305	1
306	2
307	1
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	2
320	2
321	1
322	1
323	1
324	1
325	0
326	1
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	1
339	0
340	0
341	0
342	1
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	1
358	1
359	0
360	0
361	0
362	0
363	0
364	1
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	1
376	2
377	1
378	1
379	0
380	0
381	2
382	2
383	2
384	2
385	2
386	0
387	0
388	0
389	1
390	1
391	2
392	1
393	0
394	1
395	2
396	1
397	1
398	2
399	2
400	0
401	2
402	1
403	0
404	0
405	0
406	0
407	1
408	0
409	0
410	1
411	0
412	1
413	1
414	0
415	0
416	0
417	0
418	0
419	1
420	2
421	1
422	0
423	2
424	1
425	2
426	1
427	1
428	2
429	1
430	1
431	1
432	1
433	1
434	1
435	1
436	1
437	1
438	1
439	1
440	1
441	1
442	1
443	1
444	1
445	1
446	1
447	1
448	1
449	1
450	1
451	1
452	1
453	1
454	1
455	1
456	1
457	2
458	1
459	1
460	1
461	1
462	0
463	1
464	1
465	1
466	1
467	1
468	1
469	1
470	1
471	1
472	1
473	1
474	1
475	1
476	1
477	1
478	2
479	1
480	1
481	1
482	1
483	2
484	2
485	2
486	1
487	1
488	2
489	0
490	1
491	1
492	1
493	0
494	1
495	1
496	1
497	1
498	1
499	1
500	1
501	0
502	1
503	1
504	1
505	1
506	1
507	1
508	2
509	1
510	2
511	2
512	1
513	1
514	2
515	1
516	1
517	1
518	1
519	1
520	1
521	1
522	1
523	1
524	1
525	1
526	1
